2024-08-01 16:51:48 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 16:51:48 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 16:51:59 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 16:51:59 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 16:54:47 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 16:54:47 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 16:56:42 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 16:56:42 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:00:14 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:00:14 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:00:23 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:00:23 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:02:12 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:02:12 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:02:14 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:02:14 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:02:21 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
2024-08-01 17:02:21 -> 172.16.5.42 -> ALEXIS.FIGUEIRA -> QuerySelect -> SELECT `id_file`, `fecha`, `nombre`, `type`, `size` FROM `desa__alexis`.`sys__files` WHERE `id_file` = '7F48A74DE633C5E520AAE090776A80D9'
